"","DTSTART","DTEND","SUMMARY","LOCATION","UID","transparent"
"12","2023-11-29 10:00:00","2023-11-29 10:00:01","Production in Building and Construction Index -  Quarter 3 2023 (Provisional) Quarter 2 2023 (Final)","CSO","ical-7548eb68-adee-41b5-a3fb-982533318dec","TRUE"
"13","2023-11-29 10:00:00","2023-11-29 10:00:01","Inbound Tourism -  October 2023","CSO","ical-440137ed-de03-4f1b-8b36-1b364b0fc5e3","TRUE"
"14","2023-11-29 10:00:00","2023-11-29 10:00:01","Job Skills -  2022","CSO","ical-700d0dd5-60b9-47fd-ab37-20f1ab39e67c","TRUE"
"15","2023-11-30 10:00:00","2023-11-30 10:00:00","Flash Estimate inflation euro area November 2023","Eurostat","d1e8184","TRUE"
"16","2023-11-30 10:00:00","2023-11-30 10:00:00","Unemployment October 2023","Eurostat","d1e8200","TRUE"
"17","2023-12-01 10:00:00","2023-12-01 10:00:01","Ireland Manufacturing PMI      ","S&P Global","ical-d950fe3e-078f-4618-abe1-3aaee9832147","TRUE"
"18","2023-12-04 10:00:00","2023-12-04 10:00:01","Trends in Metered Electricity and Gas Bills -  2022","CSO","ical-a014c545-5f44-4ca2-abe0-a3fbb51aafe8","TRUE"
"19","2023-12-04 10:00:00","2023-12-04 10:00:01","Supply and Use and Input-Output Tables for Ireland -  2020","CSO","ical-88227dfd-3ea7-4b48-854a-a4b912ac8b4a","TRUE"
"20","2023-12-05 10:00:00","2023-12-05 10:00:01","Census 2022 Profile 7 - Employment, Occupations and Commuting -  2022","CSO","ical-3478ee37-b776-4a29-83c6-6c2d9822363c","TRUE"
"21","2023-12-05 10:00:00","2023-12-05 10:00:01","Ireland Services PMI*          ","S&P Global","ical-51ba6808-9ea4-494c-857b-5b408d3d8ed3","TRUE"
"22","2023-12-06 10:00:00","2023-12-06 10:00:01","Monthly Services Index -  October 2023 (Provisional) September 2023 (Final)","CSO","ical-7ead900c-cb2a-4640-b966-8af420ed1810","TRUE"
"23","2023-12-06 10:00:00","2023-12-06 10:00:01","Monthly Unemployment -  November 2023","CSO","ical-7b90990e-22dc-4bd6-898b-d37e783be1eb","TRUE"
"24","2023-12-06 10:00:00","2023-12-06 10:00:01","Regional EU Sustainable Development Indicators for Ireland -  2022","CSO","ical-49973f9a-4232-4e47-ad13-3942004122bd","TRUE"
"25","2023-12-07 10:00:00","2023-12-07 10:00:00","GDP and main aggregates/Employment Q3/2023","Eurostat","d1e8265","TRUE"
