"","Date","Energy Growth","Electricity","Gas","Liquid Fuel","Solid Fuels","Fuels & Lubricants for personal transport"
"2021-06-01",2021-06-01,12.0082682418593,2.55065354500001,0.398266767594103,3.54539881469794,0.222512121911239,5.38570002576141
"2021-07-01",2021-07-01,13.0217893631638,3.00720126862823,0.575094227488103,3.52004013139954,0.208698766515369,5.80536709174058
"2021-08-01",2021-08-01,15.9702159070239,5.14501484650044,1.38795912400563,3.47223902113294,0.230713839359841,5.83132591325397
"2021-09-01",2021-09-01,18.2609843204679,5.64951819461675,1.64028681635959,3.95991998075604,0.240197024150264,6.87024157431118
"2021-10-01",2021-10-01,23.8763178137406,4.610665892431,2.58152678232154,5.92948949387325,0.299239417179555,10.5588533292986
"2021-11-01",2021-11-01,27.9632823634333,6.26848465648199,2.97751448505111,5.98672917535213,0.321112012158481,12.5163004101852
"2021-12-01",2021-12-01,30.0234743001939,6.84281782746144,3.21224062480893,4.85345946236477,0.327734145860694,14.8964777400322
"2022-01-01",2022-01-01,28.9484107160286,6.73305823665858,3.15993669221102,4.92329445782414,0.363640116037538,13.7308045766952
"2022-02-01",2022-02-01,29.9363202625188,6.60423516658535,3.10986551199561,5.78563311177804,0.344342021527321,14.0520424635221
"2022-03-01",2022-03-01,43.8620440512609,6.37402072356498,3.01148546970703,15.1111331657569,0.89754842512677,18.417374475197
"2022-04-01",2022-04-01,39.0496093501711,8.02564345781012,5.26252473395412,10.2178466619884,1.06861656046957,14.4251680288238
"2022-05-01",2022-05-01,46.3431226163491,11.6234232606336,5.95757130422023,12.3740380525685,1.11818804180604,15.2153214317047
"2022-06-01",2022-06-01,54.1226150331621,11.5204014641824,5.91441897974308,14.1021073264025,1.12608741298322,21.4004538770234
"2022-07-01",2022-07-01,48.0938659538832,11.0940554401953,5.78957531879549,11.5010075567697,1.35316584602668,18.2974224316788
"2022-08-01",2022-08-01,39.9486776943569,11.005274846496,5.90480358724672,8.75037301287866,1.32614162088876,12.9047261363597
"2022-09-01",2022-09-01,38.106737513602,10.4667042425287,5.61542798498537,10.1264990026091,1.33825987229751,10.5021690387689
"2022-10-01",2022-10-01,47.7756410241179,19.7030674949328,9.85417722820177,8.82118844060644,1.93307691342662,7.39652589124262
"2022-11-01",2022-11-01,43.0728429478411,17.7551582897506,9.2554727840373,7.53649792714384,1.87095297077347,6.58653814987583
"2022-12-01",2022-12-01,34.3518515551903,17.8510260849631,9.16336786649793,5.04371165091245,1.87928053726976,0.350750755873209
"2023-01-01",2023-01-01,33.210680877343,17.7111332258994,9.08334465473957,4.64607512874003,1.78585848389126,-0.0981586505411644
"2023-02-01",2023-02-01,29.3400728935132,17.2401856712914,8.82212900776455,2.42965573407172,1.80551246922247,-1.0362208899723
"2023-03-01",2023-03-01,11.6477131333507,15.0285547347461,7.68342678046014,-5.58887203499593,1.23761678102099,-6.77507987227215
"2023-04-01",2023-04-01,12.1776472044042,13.4554685851693,6.06376319838335,-2.90389440859802,1.08546605716857,-5.58646638515936
"2023-05-01",2023-05-01,1.97764524988706,9.39309494594294,5.11134890650002,-5.76777086225968,0.968785137326507,-7.78261885997686
"2023-06-01",2023-06-01,-3.01769387359118,8.83991769879283,4.80406969878544,-6.53160405136711,0.889697006733495,-11.0690651014422
"2023-07-01",2023-07-01,-1.28804671442539,8.33099999136534,4.76339012280283,-5.1075727994345,0.757671950361239,-10.0834498057321
"2023-08-01",2023-08-01,5.14416557815871,7.10701497619981,4.19722525836242,-1.9468765994234,0.76683211005007,-5.03561215288917
"2023-09-01",2023-09-01,9.31009678236614,6.67616019222471,4.19869377944478,-1.99660427228976,0.764886372645153,-0.390722850069542
"2023-10-01",2023-10-01,-4.19460659241013,-1.68631130832092,-0.101193358406109,-2.38403179977673,-0.180162824883727,0.112205273672452
"2023-11-01",2023-11-01,-10.1477520891169,-4.62980304071845,-1.20872918593419,-2.41155598227126,-0.162240204634572,-1.77728271497616
"2023-12-01",2023-12-01,-6.37176015037894,-5.21958353717179,-1.29291896139749,-0.976168501333043,-0.196460914906709,1.26653580216925
"2024-01-01",2024-01-01,-7.06962967448681,-5.2230432953375,-1.29377596213375,-1.2656626923695,-0.27610406539585,1.00990789469984
"2024-02-01",2024-02-01,-6.32309577490686,-5.70975855991852,-1.43193120064581,-0.111722661950093,-0.326077858926249,1.27736999083471
"2024-03-01",2024-03-01,-8.42355668795221,-8.06097957522366,-2.1726732230633,0.107474756249996,-0.388510790823951,2.11124241628224
"2024-04-01",2024-04-01,-6.30174337034968,-8.3436575973938,-2.33631952920224,0.853045361763672,-0.350521566629967,3.89558938070051
"2024-05-01",2024-05-01,-3.63890801862221,-7.92596931988222,-2.37325249155407,1.64663780196137,-0.437225676224472,5.46977579918636
"2024-06-01",2024-06-01,-5.64110214578206,-7.84340009226516,-2.34852900130837,1.14315530278002,-0.426061164831618,3.85274026701206
"2024-07-01",2024-07-01,-5.77427722666527,-7.72347595485267,-2.45924847904024,1.22833384930047,-0.446481299315107,3.64567858444956
"2024-08-01",2024-08-01,-9.48149896726715,-7.46582468481136,-2.37720918770616,-0.597375715424446,-0.431831369853724,1.41075005959398
"2024-09-01",2024-09-01,-14.1033691465714,-6.78737318450475,-2.28741109884007,-2.00361460954385,-0.44713538731239,-2.55692326369297
"2024-10-01",2024-10-01,-13.4595019568676,-5.4937576863748,-2.10796730545762,-1.78039441026473,-0.233569700651159,-3.82297313057508
"2024-11-01",2024-11-01,-7.69223616966892,-3.02478871113887,-1.08371228940913,-1.19588179224203,-0.269957830226974,-2.09892753178318
"2024-12-01",2024-12-01,-4.65158763630288,-3.10498443326456,-1.11244457385121,-0.566789237177445,-0.239679277104811,0.390568148105588
"2025-01-01",2025-01-01,-2.67121921431678,-3.13037518058703,-1.12154149516982,0.125467307054634,-0.159942514232715,1.6088827558396
"2025-02-01",2025-02-01,-2.57445903704741,-2.60790672580578,-0.961807237339364,-0.366516007130658,-0.155828372940832,1.51120355824826
"2025-03-01",2025-03-01,-0.361029729971196,-0.187954253943486,-0.200092519364969,-0.50502348194105,-0.154263650522337,0.680386688826526
